,城市ID,行政归属,城市简称,拼音,lat,lon
0,WX4FBXXFKE4F,北京市,北京/北京,Beijing,39.9,116.4
1,WX4G0URR276S,北京市/东城区,北京/东城,Dongcheng,39.92695235,116.4101171
2,WX4EPCD9BMPN,北京市/西城区,北京/西城,Xicheng,39.91091174,116.3596546
3,WX4G17JWZEK7,北京市/朝阳区,北京/朝阳,Chaoyang,39.92,116.43
4,WX4DWN2X06KM,北京市/丰台区,北京/丰台,Fengtai,39.85,116.28
5,WX4DUXSF6714,北京市/石景山区,北京/石景山,Shijingshan,39.9,116.22
6,WX4EQ2XJD7V2,北京市/海淀区,北京/海淀,Haidian,39.95,116.3
7,WX4E1VJ3N56X,北京市/门头沟区,北京/门头沟,Mentougou,39.93,116.1
8,WX4D4S7291H4,北京市/房山区,北京/房山,Fangshan,39.75,116.13
9,WX4GN7JYY527,北京市/通州区,北京/通州,Tongzhou,39.92,116.65
10,WX4UQ3MYNN0Q,北京市/顺义区,北京/顺义,Shunyi,40.13,116.65
11,WX4SUCU47R3T,北京市/昌平区,北京/昌平,Changping,40.22,116.23
12,WX4DP0SUJ2YC,北京市/大兴区,北京/大兴,Daxing,39.73,116.33
13,WX4VMUP35BZ0,北京市/怀柔区,北京/怀柔,Huairou,40.32,116.63
14,WX5K31KNJY1W,北京市/平谷区,北京/平谷,Pinggu,40.13,117.12
15,WX5JDT1H236N,北京市/密云区,北京/密云,Miyun,40.37,116.83
16,WX4QNGWY2FE8,北京市/延庆区,北京/延庆,Yanqing,40.45,115.97
17,WWGQDCW6TBW1,天津市,天津/天津,Tianjin,39.12,117.2
18,WWGQE0U6VS5D,天津市/和平区,天津/和平,Heping,39.115942,117.2082258
19,WWGQEFZMJC1W,天津市/河东区,天津/河东,Hedong,39.12729917,117.2453127
20,WWGQ7R6ZUMF7,天津市/河西区,天津/河西,Hexi,39.10857008,117.2170968
21,WWGQ9STVVP3Y,天津市/南开区,天津/南开,Nankai,39.13707444,117.1443439
22,WWGQDWRQSXXW,天津市/河北区,天津/河北,Hebei,39.14681753,117.1903355
23,WWGQC9YRXSBV,天津市/红桥区,天津/红桥,Hongqiao,39.16620039,117.1451365
24,WWGQM4R38052,天津市/东丽区,天津/东丽,Dongli,39.08,117.3
25,WWGNW7KUC8EN,天津市/西青区,天津/西青,Xiqing,39.13,117
26,WWGMZ01DBNXT,天津市/津南区,天津/津南,Jinnan,38.98,117.38
27,WWGR17G3NCFH,天津市/北辰区,天津/北辰,Beichen,39.22,117.13
28,WX50P0FTHSHF,天津市/武清区,天津/武清,Wuqing,39.38,117.03
29,WX53VNZ3B0EM,天津市/宝坻区,天津/宝坻,Baodi,39.72,117.3
30,WWGTYKJXE1UQ,天津市/滨海新区,天津/滨海新区,Binhaixinqu,39.00276284,117.7042209
31,WWGZ9PCCUGRS,天津市/宁河区,天津/宁河,Ninghe,39.33,117.82
32,WWGJKWFX9MYZ,天津市/静海区,天津/静海,Jinghai,38.93,116.92
33,WX57ZDBH4M0G,天津市/蓟州区,天津/蓟州,Jixian,40.05,117.4
34,WWC2MYYCM6J5,河北省/石家庄市,河北/石家庄/石家庄,Shijiazhuang,38.05,114.52
35,WWC2QK2826WW,河北省/石家庄市/长安区,河北/石家庄/长安,Changan,38.03609863,114.5331771
36,WWC2HQR941EY,河北省/石家庄市/桥西区,河北/石家庄/桥西,Qiaoxi,38.00326313,114.4549709
37,WWC2KWC5J30V,河北省/石家庄市/新华区,河北/石家庄/新华,Xinhua,38.05029546,114.457166
38,WWC0M54UVCB4,河北省/石家庄市/井陉矿区,河北/石家庄/井陉,Jingxing,38.03,114.13
39,WWC2NNFBK813,河北省/石家庄市/裕华区,河北/石家庄/裕华,Yuhua,38.00587197,114.5254558
40,WWC8M50SUCVF,河北省/石家庄市/藁城区,河北/石家庄/藁城,Gaocheng,38.03,114.83
41,WWC28UQ8P492,河北省/石家庄市/鹿泉区,河北/石家庄/鹿泉,Luquan,38.08,114.3
42,WW9X2ZVDFXU1,河北省/石家庄市/栾城区,河北/石家庄/栾城,Luancheng,37.88,114.65
43,WWC0M73KEJJ4,河北省/石家庄市/井陉县,河北/石家庄/井陉,Jingxing,38.03134788,114.1388152
44,WWC3P0GRF7RY,河北省/石家庄市/正定县,河北/石家庄/正定,Zhengding,38.15,114.57
45,WWC6WEUYBRNZ,河北省/石家庄市/行唐县,河北/石家庄/行唐,Xingtang,38.43,114.55
46,WWC3FS39WJMP,河北省/石家庄市/灵寿县,河北/石家庄/灵寿,Lingshou,38.3,114.37
47,WW9MZUC5VS12,河北省/石家庄市/高邑县,河北/石家庄/高邑,Gaoyi,37.6,114.6
48,WWCCJQQNDECG,河北省/石家庄市/深泽县,河北/石家庄/深泽,Shenze,38.18,115.2
49,WW9Q6C8GXHVW,河北省/石家庄市/赞皇县,河北/石家庄/赞皇,Zanhuang,37.67,114.38
50,WWCC0NQWE5V7,河北省/石家庄市/无极县,河北/石家庄/无极,Wuji,38.18,114.97
51,WWC1WEJYKUGC,河北省/石家庄市/平山县,河北/石家庄/平山,Pingshan,38.25,114.2
52,WW9QVBNVTQJ1,河北省/石家庄市/元氏县,河北/石家庄/元氏,Yuanshi,37.75,114.52
53,WW9WG8HVWY49,河北省/石家庄市/赵县,河北/石家庄/赵县,Zhaoxian,37.75,114.77
54,WW9ZTZHSH874,河北省/石家庄市/辛集市,河北/石家庄/辛集,Xinji,37.92,115.22
55,WWCB3E4KC3BD,河北省/石家庄市/晋州市,河北/石家庄/晋州,Jinzhou,38.03,115.03
